time,Price,Active_Users,Transactions
2017-12-12,683.905956165985,0.0,0.0
2017-12-13,701.59801899474,0.0,0.0
2017-12-14,698.089197545295,0.0,0.0
2017-12-15,689.464290181181,0.0,0.0
2017-12-16,697.827856516657,0.0,0.0
2017-12-17,729.331224722384,0.0,0.0
2017-12-18,787.728504091175,53.0,181.0
2017-12-19,823.847225599065,187.0,802.0
2017-12-20,797.287250730567,114.0,825.0
2017-12-21,793.748969023963,117.0,390.0
2017-12-22,682.334545879603,136.0,1446.0
2017-12-23,725.150860023378,118.0,637.0
2017-12-24,688.890793687902,80.0,870.0
2017-12-25,737.894633255406,81.0,557.0
2017-12-26,750.003065166569,81.0,430.0
2017-12-27,740.721733489188,85.0,301.0
2017-12-28,716.352512273524,62.0,547.0
2017-12-29,747.100341320865,63.0,264.0
2017-12-30,713.782832554062,87.0,504.0
2017-12-31,742.255464932788,84.0,306.0
2018-01-01,756.071765634132,64.0,298.0
2018-01-02,863.918307714787,98.0,675.0
2018-01-03,943.648126241964,97.0,390.0
2018-01-04,952.354543541789,92.0,389.0
2018-01-05,958.55284628872,78.0,433.0
2018-01-06,1006.15747457627,72.0,227.0
2018-01-07,1102.88953652835,96.0,483.0
2018-01-08,1134.69905990649,93.0,804.0
2018-01-09,1288.40687521917,63.0,451.0
2018-01-10,1231.76729456458,77.0,571.0
2018-01-11,1128.56387580362,78.0,450.0
2018-01-12,1257.23113442431,83.0,358.0
2018-01-13,1380.14454091175,91.0,397.0
2018-01-14,1361.91507568673,68.0,322.0
2018-01-15,1281.72139830508,61.0,325.0
2018-01-16,1061.18708854471,106.0,883.0
2018-01-17,1012.62289070719,145.0,789.0
2018-01-18,1018.76687463472,170.0,578.0
2018-01-19,1029.93438457043,151.0,493.0
2018-01-20,1151.94553243717,107.0,474.0
2018-01-21,1039.42323290473,119.0,485.0
2018-01-22,992.037435710111,131.0,554.0
2018-01-23,985.212768264173,127.0,471.0
2018-01-24,1047.12019959088,122.0,468.0
2018-01-25,1043.62177206312,113.0,466.0
2018-01-26,1040.46817066043,216.0,699.0
2018-01-27,1092.768235827,249.0,484.0
2018-01-28,1214.83129924021,220.0,606.0
2018-01-29,1162.00829953244,225.0,551.0
2018-01-30,1051.93348831093,254.0,661.0
2018-01-31,1096.25005698422,268.0,752.0
2018-02-01,1019.17100789012,281.0,620.0
2018-02-02,912.820928696668,334.0,938.0
2018-02-03,960.893826125073,233.0,608.0
2018-02-04,836.672457334892,203.0,622.0
2018-02-05,692.76282729398,342.0,1216.0
2018-02-06,789.043020748101,339.0,1309.0
2018-02-07,754.536574810053,244.0,799.0
2018-02-08,808.450633547633,199.0,620.0
2018-02-09,873.56737434249,242.0,788.0
2018-02-10,850.714849503214,219.0,751.0
2018-02-11,814.783270894214,240.0,805.0
2018-02-12,867.572440385739,228.0,625.0
2018-02-13,840.090783752192,241.0,575.0
2018-02-14,920.463681472823,261.0,807.0
2018-02-15,929.869215663355,256.0,605.0
2018-02-16,939.339457334892,241.0,1006.0
2018-02-17,975.231806253653,219.0,837.0
2018-02-18,915.310905610754,213.0,749.0
2018-02-19,937.840183226184,180.0,487.0
2018-02-20,885.553141145529,234.0,621.0
2018-02-21,840.667042957335,225.0,659.0
2018-02-22,807.076898889538,254.0,639.0
2018-02-23,855.767194038574,242.0,767.0
2018-02-24,834.00284628872,194.0,525.0
2018-02-25,842.311720046756,173.0,366.0
2018-02-26,865.863039158387,231.0,463.0
2018-02-27,875.052981881941,250.0,522.0
2018-02-28,851.323646405611,249.0,593.0
2018-03-01,869.302266803039,260.0,650.0
2018-03-02,855.352857685564,251.0,541.0
2018-03-03,854.387569549971,193.0,346.0
2018-03-04,861.13072238457,171.0,339.0
2018-03-05,851.608753068381,202.0,391.0
2018-03-06,812.346192869667,233.0,926.0
2018-03-07,751.754232028054,290.0,1257.0
2018-03-08,699.337428988895,286.0,1331.0
2018-03-09,725.310906779661,321.0,1401.0
2018-03-10,684.880582115722,193.0,793.0
2018-03-11,718.054689655172,187.0,846.0
2018-03-12,696.739231151374,184.0,621.0
2018-03-13,689.902102571596,228.0,758.0
2018-03-14,612.332631502046,303.0,1374.0
2018-03-15,611.166275862069,340.0,1088.0
2018-03-16,604.484301870251,250.0,764.0
2018-03-17,550.865004091175,255.0,784.0
2018-03-18,538.26132817066,428.0,3567.0
2018-03-19,550.138212741087,278.0,1331.0
2018-03-20,555.636667153711,263.0,1092.0
2018-03-21,557.397838983051,248.0,794.0
2018-03-22,539.114045295149,232.0,808.0
2018-03-23,537.592859731151,195.0,531.0
2018-03-24,525.082402980713,189.0,454.0
2018-03-25,522.222801870251,171.0,365.0
2018-03-26,489.817600526008,287.0,992.0
2018-03-27,450.549594389246,322.0,1139.0
2018-03-28,445.458083576856,259.0,732.0
2018-03-29,385.35647019287,404.0,1353.0
2018-03-30,392.467127703098,355.0,1514.0
2018-03-31,394.512378141438,254.0,965.0
2018-04-01,378.066090298071,227.0,1040.0
2018-04-02,383.397693746347,230.0,602.0
2018-04-03,415.214929865576,278.0,795.0
2018-04-04,378.529877264757,241.0,1008.0
2018-04-05,382.700794272355,248.0,786.0
2018-04-06,369.936752776154,247.0,653.0
2018-04-07,384.50724956166,199.0,673.0
2018-04-08,399.415550847458,213.0,734.0
2018-04-09,396.165397136178,294.0,1228.0
2018-04-10,413.452699298656,299.0,874.0
2018-04-11,429.797426651081,392.0,950.0
2018-04-12,493.565206604325,388.0,1904.0
2018-04-13,496.317744301578,426.0,1805.0
2018-04-14,503.221350964348,299.0,1243.0
2018-04-15,531.263950029223,318.0,1048.0
2018-04-16,510.983758328463,346.0,1217.0
2018-04-17,502.126641437756,323.0,884.0
2018-04-18,524.994593804793,352.0,892.0
2018-04-19,566.582526300409,416.0,1295.0
2018-04-20,616.317340736412,442.0,1301.0
2018-04-21,605.396331092928,372.0,1318.0
2018-04-22,621.139101402688,435.0,1160.0
2018-04-23,642.581729398013,485.0,1283.0
2018-04-24,705.007020455874,537.0,1522.0
2018-04-25,614.546471654004,547.0,2977.0
