time,Price,Transactions
2014-10-08,1.10242275851526,732.0
2014-10-09,1.10157376093836,688.0
2014-10-10,1.13736967244653,826.0
2014-10-11,1.08197811687274,578.0
2014-10-12,1.09357991356071,606.0
2014-10-13,1.1076731661304,706.0
2014-10-14,1.08440049590236,650.0
2014-10-15,1.00594809261697,611.0
2014-10-16,1.00807888480547,527.0
2014-10-17,0.978865990909949,580.0
2014-10-18,0.970605508960237,498.0
2014-10-19,0.998454350102463,571.0
2014-10-20,0.953928447069719,707.0
2014-10-21,0.949251405694314,592.0
2014-10-22,0.948974821835185,701.0
2014-10-23,0.858370117514648,688.0
2014-10-24,0.767307568281737,629.0
2014-10-25,0.738219747491471,670.0
2014-10-26,0.69249922894015,626.0
2014-10-27,0.72643555693905,909.0
2014-10-28,0.687055565855223,608.0
2014-10-29,0.633688298601494,689.0
2014-10-30,0.622062049378624,562.0
2014-10-31,0.608367560188768,535.0
2014-11-01,0.582667595425624,446.0
2014-11-02,0.575583955976273,449.0
2014-11-03,0.577450261371244,580.0
2014-11-04,0.555626089485741,561.0
2014-11-05,0.571592684647841,538.0
2014-11-06,0.591726207595483,575.0
2014-11-07,0.612106101893298,535.0
2014-11-08,0.643679194007361,517.0
2014-11-09,0.722062653586817,607.0
2014-11-10,0.734481579109815,693.0
2014-11-11,0.726838617208961,533.0
2014-11-12,0.742321734955895,1034.0
2014-11-13,0.714774397687225,868.0
2014-11-14,0.693110836244279,811.0
2014-11-15,0.652802601169315,796.0
2014-11-16,0.657500329686855,755.0
2014-11-17,0.598781232492505,715.0
2014-11-18,0.591887491145308,766.0
2014-11-19,0.556719987224369,521.0
2014-11-20,0.52097721495303,520.0
2014-11-21,0.542896631907792,656.0
2014-11-22,0.533969992163524,587.0
2014-11-23,0.535902731451427,687.0
2014-11-24,0.534793199807999,773.0
2014-11-25,0.611504213676784,1103.0
2014-11-26,0.558023084876293,928.0
2014-11-27,0.553582387420153,1176.0
2014-11-28,0.564950281195638,788.0
2014-11-29,0.569107540577713,663.0
2014-11-30,0.554527824549756,781.0
2014-12-01,0.473339046886642,780.0
2014-12-02,0.515861346396192,768.0
2014-12-03,0.512481222912831,633.0
2014-12-04,0.458058969968088,724.0
2014-12-05,0.432247396571396,632.0
2014-12-06,0.443112339205657,629.0
2014-12-07,0.463940980839416,561.0
2014-12-08,0.443322268505456,653.0
2014-12-09,0.391366035708465,627.0
2014-12-10,0.392279869663822,624.0
2014-12-11,0.394427192689444,652.0
2014-12-12,0.37239568915197,640.0
2014-12-13,0.368816830911179,564.0
2014-12-14,0.393188639402372,498.0
2014-12-15,0.374909969289012,618.0
2014-12-16,0.343522107426583,537.0
2014-12-17,0.335845578007685,720.0
2014-12-18,0.313644631974464,659.0
2014-12-19,0.3188505428608,933.0
2014-12-20,0.337990349270591,1314.0
2014-12-21,0.345753423484488,592.0
2014-12-22,0.334138518928611,798.0
2014-12-23,0.370121905706401,689.0
2014-12-24,0.419599437131846,762.0
2014-12-25,0.453793653022807,715.0
2014-12-26,0.433221824265765,665.0
2014-12-27,0.521165746421295,685.0
2014-12-28,0.5683804361538,834.0
2014-12-29,0.494321149335915,705.0
2014-12-30,0.505567403688763,836.0
2014-12-31,0.434771158619531,510.0
2015-01-01,0.46886214970813,359.0
2015-01-02,0.463805070795005,462.0
2015-01-03,0.474732359657917,580.0
2015-01-04,0.414567794576456,544.0
2015-01-05,0.425803100437027,770.0
2015-01-06,0.467960429926963,675.0
2015-01-07,0.469283354097266,701.0
2015-01-08,0.438991027533087,661.0
2015-01-09,0.424195898008003,496.0
2015-01-10,0.419361571070952,604.0
2015-01-11,0.384035036489792,647.0
2015-01-12,0.366174790694099,486.0
2015-01-13,0.304229254705641,752.0
2015-01-14,0.2222087889472,681.0
2015-01-15,0.267144817367742,641.0
2015-01-16,0.277234288096676,602.0
2015-01-17,0.243544587516169,574.0
2015-01-18,0.256198009886577,425.0
2015-01-19,0.257091994970344,893.0
2015-01-20,0.238761052588564,631.0
2015-01-21,0.260307226112169,689.0
2015-01-22,0.272976104748508,731.0
2015-01-23,0.281248564387532,473.0
2015-01-24,0.302168134137388,323.0
2015-01-25,0.315332899351761,359.0
2015-01-26,0.312780474680125,979.0
2015-01-27,0.312874641319661,546.0
2015-01-28,0.286225060205018,630.0
2015-01-29,0.315761865230183,683.0
2015-01-30,0.295906711159186,531.0
2015-01-31,0.280477526484299,619.0
2015-02-01,0.295749548148055,606.0
2015-02-02,0.301685620027162,606.0
2015-02-03,0.284171173538631,0.0
2015-02-04,0.286372508974219,574.0
2015-02-05,0.270595036476899,699.0
2015-02-06,0.266676674237886,540.0
2015-02-07,0.275919531728327,763.0
2015-02-08,0.261614969335831,507.0
2015-02-09,0.24791154103377,598.0
2015-02-10,0.245661620598426,433.0
2015-02-11,0.231673299589758,633.0
2015-02-12,0.245282286726479,560.0
2015-02-13,0.25383408389827,612.0
2015-02-14,0.277395795328883,546.0
2015-02-15,0.252346074162488,603.0
2015-02-16,0.249304121350203,459.0
2015-02-17,0.252744820513438,551.0
2015-02-18,0.242795944722394,677.0
2015-02-19,0.285395525241042,554.0
