time,Price,Active_Users,Total_Users,Total_Users_USD100,Total_Users_USD_10,Transactions
2016-05-17,1.73483843573388,21663.0,38456.0,3233.0,28592.0,8191.0
2016-05-18,1.59207301378757,4466.0,38922.0,3172.0,28486.0,2768.0
2016-05-19,1.56904854062956,13167.0,38202.0,3157.0,28105.0,5825.0
2016-05-20,1.48798607201268,5599.0,38194.0,3172.0,26955.0,2570.0
2016-05-21,1.5310098403499,15570.0,37261.0,3136.0,26755.0,6960.0
2016-05-22,1.46603477320591,4704.0,37558.0,3092.0,26693.0,2773.0
2016-05-23,1.53083359545692,19399.0,39433.0,3118.0,29058.0,7747.0
2016-05-24,1.44367345567686,4429.0,39914.0,3092.0,29176.0,2687.0
2016-05-25,1.39713660345514,15190.0,38772.0,3098.0,28056.0,6914.0
2016-05-26,1.34212388107828,4620.0,39254.0,3090.0,27908.0,2688.0
2016-05-27,1.33525494063708,8538.0,39042.0,3037.0,27780.0,4494.0
2016-05-28,1.58225365834883,6824.0,39184.0,3133.0,29454.0,3813.0
2016-05-29,1.47713919485681,9226.0,37703.0,3077.0,27329.0,3467.0
2016-05-30,1.4816094782295,16249.0,40102.0,3078.0,29887.0,6917.0
2016-05-31,1.51448301474965,5414.0,40451.0,3079.0,29963.0,3372.0
2016-06-01,1.78992105266793,19120.0,40152.0,3171.0,31389.0,7401.0
2016-06-02,1.7718786942013,3451.0,40640.0,3219.0,31588.0,2110.0
2016-06-03,1.73904816768984,9074.0,40788.0,3182.0,31523.0,5162.0
2016-06-04,1.75151191499123,10644.0,40628.0,3174.0,31431.0,5210.0
2016-06-05,1.66827183650317,6372.0,40413.0,3137.0,31139.0,3306.0
2016-06-06,1.67039475284534,8845.0,40593.0,3126.0,31239.0,4791.0
2016-06-07,1.68448607957572,6701.0,40899.0,3133.0,31412.0,3993.0
2016-06-08,1.66537351577236,9329.0,40568.0,3139.0,31140.0,4900.0
2016-06-09,1.67266081702847,6049.0,40969.0,3132.0,31350.0,3645.0
2016-06-10,1.65337579946018,19380.0,39548.0,3177.0,30632.0,7783.0
2016-06-11,1.68756470446252,3563.0,39938.0,3228.0,31023.0,2449.0
2016-06-12,1.60184852590225,10278.0,39667.0,3162.0,30565.0,4972.0
2016-06-13,1.67775163303585,12958.0,40050.0,3195.0,31384.0,5552.0
2016-06-14,1.64984229957801,5037.0,40081.0,3160.0,31300.0,2966.0
2016-06-15,1.6958035829924,15566.0,39408.0,3246.0,31187.0,7238.0
2016-06-16,1.9773676543588,5908.0,39874.0,3484.0,31799.0,3219.0
2016-06-17,1.72683759314317,10508.0,39308.0,3292.0,31047.0,5476.0
2016-06-18,1.90747193101683,8381.0,38694.0,3417.0,30688.0,4266.0
2016-06-19,2.0319562460745,8134.0,38463.0,3556.0,30633.0,4466.0
2016-06-20,1.96617646653459,4836.0,38299.0,3474.0,30241.0,3045.0
2016-06-21,1.68027669327434,10516.0,38001.0,3345.0,29748.0,5408.0
2016-06-22,1.60233762453312,15662.0,37141.0,3353.0,29122.0,7085.0
2016-06-23,1.61781432257723,4326.0,37583.0,3404.0,29392.0,2807.0
2016-06-24,1.65935375034842,7599.0,37203.0,3391.0,29162.0,4001.0
2016-06-25,1.67887043709819,5011.0,37499.0,3371.0,29253.0,3247.0
2016-06-26,1.52594086572801,11222.0,36949.0,3382.0,28432.0,5740.0
2016-06-27,1.88761236870587,8633.0,36734.0,3631.0,29002.0,4876.0
2016-06-28,1.88833021342539,4458.0,36959.0,3614.0,29037.0,2868.0
2016-06-29,2.06376212735302,8997.0,36882.0,3772.0,29155.0,5208.0
2016-06-30,2.08637276220407,13070.0,35823.0,3846.0,28570.0,6351.0
2016-07-01,1.98095136416781,4029.0,36219.0,3718.0,28699.0,2727.0
2016-07-02,2.04517926904086,14119.0,35431.0,3895.0,28373.0,7396.0
2016-07-03,1.99742277470382,4202.0,35640.0,3816.0,28447.0,2707.0
2016-07-04,1.98202795935452,8531.0,35121.0,3752.0,28047.0,4736.0
2016-07-05,1.92659777839553,8298.0,35132.0,3739.0,27982.0,4317.0
2016-07-06,1.89749326947838,8603.0,34958.0,3690.0,27939.0,4467.0
2016-07-07,1.67237589905885,9106.0,34697.0,3651.0,27503.0,5010.0
2016-07-08,1.90287266896104,6193.0,34933.0,3793.0,27854.0,3515.0
2016-07-09,1.6564258970686,9041.0,35034.0,3627.0,27600.0,5082.0
2016-07-10,1.74144906144826,13373.0,35125.0,3713.0,27874.0,7459.0
2016-07-11,1.72322887863185,3932.0,35521.0,3667.0,28128.0,2663.0
2016-07-12,1.70448165324118,11872.0,35365.0,3705.0,28153.0,6189.0
2016-07-13,1.69082997990709,3351.0,35811.0,3668.0,28427.0,2260.0
2016-07-14,1.75717244842266,8995.0,36133.0,3728.0,28788.0,5116.0
2016-07-15,1.83817597209513,7742.0,36195.0,3757.0,28999.0,4427.0
2016-07-16,1.7712264978126,8390.0,36235.0,3789.0,28900.0,4753.0
2016-07-17,1.82813590104364,10439.0,36023.0,3825.0,28806.0,5323.0
2016-07-18,1.78231547807713,5077.0,36588.0,3823.0,29341.0,2955.0
2016-07-19,1.79087475808837,16965.0,37583.0,3865.0,30496.0,7328.0
2016-07-20,1.73672251449395,7111.0,37921.0,3828.0,30730.0,3692.0
2016-07-21,1.74050987937173,8328.0,37917.0,3794.0,30700.0,4349.0
2016-07-22,1.73254369722991,10024.0,37214.0,3816.0,29967.0,5219.0
2016-07-23,1.74220110327948,4927.0,37653.0,3761.0,30268.0,3232.0
2016-07-24,1.68707711117137,7987.0,37792.0,3661.0,30325.0,4272.0
2016-07-25,1.85537965301043,7589.0,37375.0,3764.0,30321.0,3888.0
2016-07-26,1.70805914948507,12349.0,37323.0,3712.0,30091.0,6132.0
2016-07-27,1.70631538187025,6805.0,37417.0,3719.0,30108.0,4363.0
2016-07-28,1.6899045062389,13734.0,37627.0,3694.0,30287.0,7156.0
2016-07-29,1.70135266216361,4591.0,37977.0,3733.0,30534.0,2782.0
2016-07-30,1.71934375970309,13266.0,37984.0,3695.0,30547.0,6832.0
2016-07-31,1.83931797756831,4449.0,37888.0,3701.0,30689.0,2694.0
2016-08-01,1.70330146346427,12783.0,36665.0,3664.0,29323.0,6252.0
2016-08-02,1.44259674330514,5383.0,36743.0,3560.0,28919.0,3164.0
2016-08-03,1.56208144034209,8285.0,36363.0,3665.0,28773.0,4439.0
2016-08-04,1.64418037075403,4180.0,36743.0,3675.0,29172.0,2671.0
2016-08-05,1.62589393537292,15137.0,36454.0,3657.0,28948.0,7716.0
2016-08-06,1.64604969886327,3807.0,36855.0,3664.0,29253.0,2679.0
