time,Price,Transactions
2019-01-29,7.93048634543902,4373.0
2019-01-30,6.62962711245038,5034.0
2019-01-31,5.71224963577867,4457.0
2019-02-01,6.16415105722054,4678.0
2019-02-02,5.98315301100394,4594.0
2019-02-03,5.66808627167022,4047.0
2019-02-04,5.30066424269743,3191.0
2019-02-05,5.0985799369585,4925.0
2019-02-06,4.32367287064225,5061.0
2019-02-07,3.8738408706768,5094.0
2019-02-08,4.15658070061776,4554.0
2019-02-09,5.12751362976408,4778.0
2019-02-10,5.8967963186613,4665.0
2019-02-11,5.17099252040327,4849.0
2019-02-12,4.95130540281707,5185.0
2019-02-13,4.96569405007807,6163.0
2019-02-14,5.11203571304753,5180.0
2019-02-15,5.11910594914386,3699.0
2019-02-16,5.08178084529936,3334.0
2019-02-17,4.90761319481535,3677.0
2019-02-18,4.89300659268703,4394.0
2019-02-19,4.89335967193717,3842.0
2019-02-20,4.80746943277691,3379.0
2019-02-21,4.58756763560508,3391.0
2019-02-22,4.53486410531659,3292.0
2019-02-23,4.30502709524549,2915.0
2019-02-24,4.01872093459881,2774.0
2019-02-25,3.76705028974559,3076.0
2019-02-26,3.77788887734721,3982.0
2019-02-27,3.60640346248305,2709.0
2019-02-28,3.34529734353638,2847.0
2019-03-01,3.27913125700387,2933.0
2019-03-02,3.49712661933236,2678.0
2019-03-03,3.69994491333514,2725.0
2019-03-04,3.28442318706501,2760.0
2019-03-05,3.31343235670708,2690.0
2019-03-06,3.23295742600498,2678.0
2019-03-07,3.0982211380618,2754.0
2019-03-08,3.13601224784122,2113.0
2019-03-09,3.18334733955747,2279.0
2019-03-10,3.16692560423945,1574.0
2019-03-11,2.99964082635129,3269.0
2019-03-12,2.82119864684278,3888.0
2019-03-13,2.68867706980233,2411.0
2019-03-14,2.64064869852834,2301.0
2019-03-15,2.66511432168888,2125.0
2019-03-16,2.66200568174079,2246.0
2019-03-17,2.6493090515871,2017.0
2019-03-18,2.59811117437477,2096.0
2019-03-19,2.51118090583972,2338.0
2019-03-20,2.45603435030081,2163.0
2019-03-21,2.32826272544986,1982.0
2019-03-22,2.44794808753074,2137.0
2019-03-23,2.46695031794609,3590.0
2019-03-24,2.67714033379261,2225.0
2019-03-25,2.51120619556684,2337.0
2019-03-26,2.42716690015652,2310.0
2019-03-27,2.52027247573581,2326.0
2019-03-28,2.55959436064778,2401.0
2019-03-29,3.05307188812443,2338.0
2019-03-30,3.2688365776919,2637.0
2019-03-31,3.50127585125414,2798.0
2019-04-01,3.30675511754095,2876.0
2019-04-02,3.59332214609076,4520.0
2019-04-03,3.4418522587945,2729.0
2019-04-04,3.24845193753582,2458.0
2019-04-05,3.48132263788972,2547.0
2019-04-06,3.24383476445998,2473.0
2019-04-07,3.1971738768622,2512.0
