time,Price,Active_Users,Total_Users,Total_Users_USD100,Total_Users_USD_10,Transactions
2019-07-18,0.999560696854254,0.0,0.0,0.0,0.0,0.0
2019-07-19,1.00100852773047,0.0,0.0,0.0,0.0,0.0
2019-07-20,1.01304294237932,7.0,5.0,1.0,2.0,12.0
2019-07-21,1.01413971975643,0.0,5.0,1.0,2.0,0.0
2019-07-22,1.00053088158296,0.0,5.0,1.0,2.0,0.0
2019-07-23,1.00093145351569,0.0,5.0,1.0,2.0,0.0
2019-07-24,1.0019649913997,0.0,5.0,1.0,2.0,0.0
2019-07-25,1.00057774092778,3.0,6.0,2.0,3.0,1.0
2019-07-26,1.00196896847458,0.0,6.0,2.0,3.0,0.0
2019-07-27,1.00443840935597,0.0,6.0,2.0,3.0,0.0
2019-07-28,1.00586783631316,0.0,6.0,2.0,3.0,0.0
2019-07-29,0.99822218800099,3.0,7.0,3.0,4.0,1.0
2019-07-30,0.998619572632091,3.0,7.0,3.0,4.0,1.0
2019-07-31,0.998452282145104,2.0,7.0,3.0,4.0,1.0
2019-08-01,1.00104473521027,0.0,7.0,3.0,4.0,0.0
2019-08-02,1.00045258924525,6.0,8.0,5.0,5.0,2.0
2019-08-03,1.00009025451294,0.0,8.0,5.0,5.0,0.0
2019-08-04,1.00124245953715,0.0,8.0,5.0,5.0,0.0
2019-08-05,0.997296784786809,8.0,11.0,6.0,7.0,4.0
2019-08-06,0.997772780089465,11.0,14.0,7.0,9.0,7.0
2019-08-07,0.999249018384326,4.0,14.0,7.0,9.0,3.0
2019-08-08,0.997698533381493,11.0,17.0,8.0,11.0,10.0
2019-08-09,0.999989439318033,4.0,17.0,8.0,11.0,2.0
2019-08-10,1.00007654736463,2.0,18.0,9.0,12.0,1.0
2019-08-11,1.00038487802068,2.0,19.0,9.0,13.0,1.0
2019-08-12,1.00032191313661,7.0,22.0,9.0,15.0,5.0
2019-08-13,0.99966506613611,10.0,24.0,8.0,17.0,7.0
2019-08-14,0.999236517214159,6.0,25.0,7.0,17.0,4.0
2019-08-15,1.00124732556407,12.0,29.0,8.0,18.0,6.0
2019-08-16,1.00241917629415,2.0,30.0,8.0,19.0,1.0
2019-08-17,1.00032519954322,8.0,30.0,7.0,19.0,7.0
2019-08-18,1.00120992606042,4.0,32.0,7.0,21.0,3.0
2019-08-19,0.999734441960746,13.0,39.0,7.0,26.0,8.0
2019-08-20,1.00058895729162,9.0,42.0,7.0,28.0,4.0
2019-08-21,0.999283948221608,15.0,49.0,7.0,31.0,11.0
2019-08-22,1.00146293907252,14.0,56.0,8.0,36.0,11.0
2019-08-23,1.00227545202531,16.0,63.0,10.0,41.0,14.0
2019-08-24,1.0006262385522,13.0,69.0,11.0,42.0,7.0
2019-08-25,1.00078017267714,16.0,77.0,11.0,46.0,20.0
2019-08-26,0.998751813619225,8.0,79.0,11.0,48.0,10.0
2019-08-27,0.999788743137562,10.0,83.0,12.0,51.0,11.0
2019-08-28,0.99901387613555,7.0,84.0,12.0,51.0,6.0
2019-08-29,0.999980531466424,9.0,87.0,14.0,54.0,6.0
2019-08-30,1.00026409400393,10.0,90.0,16.0,56.0,7.0
2019-08-31,1.00076435427565,2.0,91.0,16.0,57.0,1.0
2019-09-01,1.00159390074232,16.0,99.0,19.0,64.0,14.0
2019-09-02,1.00236938085047,10.0,103.0,21.0,68.0,10.0
2019-09-03,1.00010069854288,17.0,111.0,23.0,74.0,13.0
2019-09-04,1.00052067090415,11.0,112.0,23.0,74.0,6.0
2019-09-05,1.00051362685694,21.0,125.0,25.0,79.0,19.0
2019-09-06,0.99924620856432,9.0,127.0,26.0,81.0,6.0
2019-09-07,1.00048226000581,8.0,128.0,27.0,82.0,5.0
2019-09-08,0.999591602220865,13.0,134.0,30.0,86.0,9.0
2019-09-09,0.999959229169683,18.0,140.0,33.0,90.0,13.0
2019-09-10,1.00002461548189,13.0,147.0,36.0,95.0,13.0
2019-09-11,0.999679882355117,7.0,149.0,37.0,97.0,2.0
